dN,dE,dU,Sn,Se,Su,DOY,SITE
0.79,-13.15,144.03,4.16,4.36,149.88,107.00,BOMB
-0.11,-6.76,130.62,8.72,10.85,477.47,108.00,BOMB
-2.35,-14.26,80.01,28.17,36.11,651.00,109.00,BOMB
-2.76,-11.47,4.07,2.41,3.01,11.50,110.00,BOMB
-1.58,-8.74,4.53,1.97,2.50,9.23,111.00,BOMB
-3.04,-9.08,0.55,2.00,2.68,9.42,112.00,BOMB
-0.09,-10.65,-3.51,2.38,3.16,10.92,113.00,BOMB
-0.59,-9.08,-1.47,2.13,2.84,9.59,114.00,BOMB
-1.92,-4.54,-1.71,2.15,2.86,9.99,115.00,BOMB
-1.45,-5.39,-2.34,1.91,2.73,9.11,116.00,BOMB
-3.75,-6.29,9.15,2.11,3.25,9.82,117.00,BOMB
-1.61,-6.04,10.63,1.99,2.90,9.57,118.00,BOMB
-1.38,-4.90,4.90,1.83,2.82,8.60,119.00,BOMB
0.17,-3.39,3.76,1.74,2.27,8.25,120.00,BOMB
-1.33,-5.70,2.63,1.87,2.33,8.88,121.00,BOMB
-4.02,-5.09,-0.45,2.14,2.71,9.98,122.00,BOMB
-0.95,-3.23,-1.05,1.84,2.51,8.59,123.00,BOMB
-0.60,-3.05,2.43,2.16,2.98,10.19,124.00,BOMB
0.52,-3.43,1.76,2.01,2.61,9.56,125.00,BOMB
-2.86,-4.77,5.36,1.92,2.38,8.76,126.00,BOMB
-2.61,-8.41,8.04,2.19,2.87,10.22,127.00,BOMB
1.15,-4.84,-2.90,2.17,2.71,10.43,128.00,BOMB
-2.44,-6.37,14.68,2.13,2.79,9.93,129.00,BOMB
-0.87,-1.85,4.56,2.17,2.71,10.13,130.00,BOMB
-2.51,-2.10,2.48,2.22,2.76,10.63,131.00,BOMB
-1.85,-2.25,0.10,2.26,2.86,10.60,132.00,BOMB
-1.01,-0.78,6.30,2.00,2.56,9.31,133.00,BOMB
