SITE,YR,DOY,TD,PR,HR
BOMB, 24, 102, 26.8, 1000.5, 72
BOMB, 24, 103, 32.95, 999.85, 40.55
BOMB, 24, 104, 29.1, 1002.7, 60.3
BOMB, 24, 105, 28.7667, 1000.67, 74.2333
BOMB, 24, 106, 29.7, 999.2, 70.3
BOMB, 24, 107, 38.225, 998.125, 37.1
BOMB, 24, 109, 33.7, 1000.7, 64.7
BOMB, 24, 110, 31.9, 995.6, 58.1
BOMB, 24, 112, 28.15, 998.6, 56.95
BOMB, 24, 113, 31.2, 999.45, 52.35
BOMB, 24, 114, 27.5, 997.2, 75.3
BOMB, 24, 115, 33.4333, 997.733, 54.8333
BOMB, 24, 116, 37.6, 995.8, 33.5
BOMB, 24, 117, 38.7, 996.7, 43.2
BOMB, 24, 118, 31.4, 998, 47
BOMB, 24, 119, 30.1, 998.4, 48.9
BOMB, 24, 121, 39.2, 997.4, 25.2
BOMB, 24, 122, 26.5, 997.35, 78.2
BOMB, 24, 123, 33.55, 997.5, 54.45
BOMB, 24, 124, 32.8167, 996.533, 56.2333
BOMB, 24, 125, 27.85, 998.05, 81.7
BOMB, 24, 127, 30.8, 997, 59.9
BOMB, 24, 128, 35.1, 997.9, 51.4
BOMB, 24, 130, 30.2, 999.25, 68.15
BOMB, 24, 131, 26.8, 999.6, 82.9
BOMB, 24, 132, 29.2, 1000.2, 71.5
BOMB, 24, 133, 29.9, 999.1, 64.25
BOMB, 24, 134, 25.2, 999.3, 84
BOMB, 24, 136, 31.2, 998.1, 72.1
BOMB, 24, 137, 29.05, 999.079, 60.9875
BOMB, 24, 138, 32.3, 996.45, 64.4
BOMB, 24, 139, 32.35, 994.2, 67.3
BOMB, 24, 140, 32.55, 994.8, 67.25
BOMB, 24, 141, 34, 992, 54.9
BOMB, 24, 142, 33.4, 995.233, 66
BOMB, 24, 143, 32.43, 992.035, 66.27
BOMB, 24, 144, 28.3, 991.8, 85.4
BOMB, 24, 145, 33.55, 993.55, 64.05
BOMB, 24, 147, 31.2333, 995.3, 70.9
BOMB, 24, 148, 29.3, 994.4, 79.1
BOMB, 24, 149, 29.45, 995.2, 73.65
BOMB, 24, 150, 29.8667, 995.9, 72.7667
BOMB, 24, 152, 30.55, 998, 74.2
BOMB, 24, 153, 29.3, 996.3, 74.9
BOMB, 24, 154, 29.2, 997.3, 76.6
BOMB, 24, 156, 29.95, 997.65, 72.15
BOMB, 24, 157, 30.2, 998.85, 74.1
BOMB, 24, 162, 27, 996.4, 89.45
BOMB, 24, 164, 30, 998.05, 75.05
BOMB, 24, 165, 26.1, 995.7, 95.5
BOMB, 24, 167, 30.35, 995.1, 74.8
BOMB, 24, 168, 30.4333, 996.1, 73.1667
BOMB, 24, 169, 29.45, 997.55, 82.15
BOMB, 24, 170, 31.1, 996.5, 74.1
DHAN, 24, 121, 41.975, 974.575, 12.7375
DHAN, 24, 124, 30, 977, 18.54
MANI, 24, 100, 24.012, 949.435, 57.6429
MANI, 24, 101, 23.6527, 949.431, 70.0861
MANI, 24, 102, 26.522, 950.843, 59.457
MANI, 24, 103, 23.8885, 950.156, 76.1426
MANI, 24, 104, 26.8228, 949.056, 61.5312
MANI, 24, 105, 30.0994, 949.77, 47.5537
MANI, 24, 106, 31.5147, 950.093, 42.5157
MANI, 24, 107, 34.4543, 948.465, 26.0384
MANI, 24, 108, 33.2209, 948.08, 23.378
MANI, 24, 109, 35.6595, 946.435, 18.7817
MANI, 24, 110, 34.6007, 945.384, 22.5147
MANI, 24, 111, 33.2195, 945.833, 24.0521
MANI, 24, 112, 32.6411, 946.123, 26.3885
MANI, 24, 113, 30.0482, 947.893, 41.3317
MANI, 24, 114, 32.167, 946.006, 28.2654
MANI, 24, 115, 33.3356, 945.848, 26.5487
MANI, 24, 116, 34.4677, 945.731, 21.2767
MANI, 24, 117, 30.9594, 947.074, 34.5343
MANI, 24, 118, 33.0944, 947.078, 27.693
MANI, 24, 119, 33.7378, 947.079, 18.6559
MANI, 24, 120, 34.2902, 946.912, 18.6503
MANI, 24, 121, 33.3338, 944.543, 17.7042
MANI, 24, 122, 32.1171, 943.142, 12.6934
