SITE,YR,DOY,OBS
BOMB, 24,  100, 40.27
BOMB, 24,  101, 33.69
BOMB, 24,  102, 35.78
BOMB, 24,  103, 39.68
BOMB, 24,  104, 37.83
BOMB, 24,  105, 44.04
BOMB, 24,  106, 38.41
BOMB, 24,  107, 39.95
BOMB, 24,  108, 38.18
BOMB, 24,  109, 36.29
BOMB, 24,  110, 70.10
BOMB, 24,  111, 92.03
BOMB, 24,  112, 93.79
BOMB, 24,  113, 91.53
BOMB, 24,  114, 90.85
BOMB, 24,  115, 90.80
BOMB, 24,  116, 91.74
BOMB, 24,  117, 94.06
BOMB, 24,  118, 90.73
BOMB, 24,  119, 92.19
BOMB, 24,  120, 91.12
BOMB, 24,  121, 94.92
BOMB, 24,  122, 94.49
BOMB, 24,  123, 94.29
BOMB, 24,  124, 91.87
BOMB, 24,  125, 94.82
BOMB, 24,  126, 95.04
BOMB, 24,  127, 91.98
BOMB, 24,  128, 91.37
BOMB, 24,  129, 91.74
BOMB, 24,  130, 91.69
BOMB, 24,  131, 94.68
BOMB, 24,  132, 94.84
BOMB, 24,  133, 91.40
BOMB, 24,  134, 94.55
BOMB, 24,  135, 94.57
BOMB, 24,  136, 93.44
BOMB, 24,  137, 90.03
BOMB, 24,  138, 89.21
BOMB, 24,  139, 88.78
BOMB, 24,  140, 90.05
BOMB, 24,  141, 90.05
BOMB, 24,  142, 90.62
BOMB, 24,  143, 90.38
BOMB, 24,  144, 91.29
BOMB, 24,  145, 93.99
BOMB, 24,  146, 90.96
BOMB, 24,  147, 90.57
BOMB, 24,  148, 90.91
BOMB, 24,  149, 91.63
BOMB, 24,  150, 90.40
BOMB, 24,  151, 93.54
BOMB, 24,  152, 93.34
BOMB, 24,  153, 91.48
BOMB, 24,  154, 91.78
BOMB, 24,  155, 90.48
BOMB, 24,  156, 91.78
BOMB, 24,  157, 94.61
BOMB, 24,  158, 91.34
BOMB, 24,  159, 90.53
BOMB, 24,  160, 90.44
BOMB, 24,  161, 89.44
BOMB, 24,  162, 91.12
BOMB, 24,  163, 94.65
BOMB, 24,  164, 91.50
BOMB, 24,  165, 91.55
BOMB, 24,  166, 91.29
BOMB, 24,  167, 94.05
BOMB, 24,  168, 94.22
BOMB, 24,  169, 94.02
BOMB, 24,  170, 91.28
BOMB, 24,  171, 94.30
BOMB, 24,  172, 91.69
BOMB, 24,  173, 94.11
BOMB, 24,  174, 93.97
BOMB, 24,  175, 91.39
BOMB, 24,  176, 94.30
BOMB, 24,  177, 93.55
BOMB, 24,  178, 91.26
BOMB, 24,  179, 90.73
BOMB, 24,  180, 89.62
BOMB, 24,  181, 92.48
BOMB, 24,  182, 89.44
BOMB, 24,  183, 89.09
BOMB, 24,  184, 92.01
BOMB, 24,  185, 91.61
BOMB, 24,  186, 93.91
BOMB, 24,  187, 91.92
BOMB, 24,  188, 90.02
BOMB, 24,  189, 91.24
BOMB, 24,  190, 87.73
BOMB, 24,  191, 84.73
BOMB, 24,  192, 80.84
BOMB, 24,  193, 73.93
BOMB, 24,  194, 27.38
BOMB, 24,  195, 6.32
BOMB, 24,  196, 3.66
BOMB, 24,  197, 12.48
BOMB, 24,  198, 5.82
BOMB, 24,  199, 10.13
BOMB, 24,  200, 1.01
BOMB, 24,  201, 1.05
BOMB, 24,  202, 1.62
BOMB, 24,  203, 1.79
BOMB, 24,  204, 2.64
DHAN, 24,  100, 95.33
DHAN, 24,  101, 80.82
DHAN, 24,  102, 100.00
DHAN, 24,  103, 81.47
DHAN, 24,  104, 89.27
DHAN, 24,  105, 95.90
DHAN, 24,  106, 90.62
DHAN, 24,  107, 94.41
DHAN, 24,  108, 91.23
DHAN, 24,  109, 89.21
DHAN, 24,  110, 92.76
DHAN, 24,  111, 95.80
DHAN, 24,  112, 89.84
DHAN, 24,  113, 87.54
DHAN, 24,  114, 73.22
DHAN, 24,  115, 89.55
DHAN, 24,  116, 92.69
DHAN, 24,  117, 93.82
DHAN, 24,  118, 92.01
DHAN, 24,  119, 90.00
DHAN, 24,  120, 78.75
DHAN, 24,  121, 94.48
DHAN, 24,  124, 91.73
DHAN, 24,  125, 93.99
DHAN, 24,  126, 94.49
IITK, 24,  101, 98.94
IITK, 24,  102, 98.62
IITK, 24,  103, 95.91
IITK, 24,  104, 98.81
IITK, 24,  105, 98.90
IITK, 24,  106, 98.64
IITK, 24,  107, 99.41
IITK, 24,  108, 98.87
IITK, 24,  109, 95.34
IITK, 24,  110, 98.47
IITK, 24,  111, 99.10
IITK, 24,  112, 99.08
IITK, 24,  113, 99.23
IITK, 24,  114, 98.14
IITK, 24,  115, 93.61
IITK, 24,  116, 99.02
IITK, 24,  117, 98.22
IITK, 24,  118, 98.01
IITK, 24,  119, 98.85
IITK, 24,  120, 98.60
IITK, 24,  121, 98.84
IITK, 24,  122, 98.00
IITK, 24,  123, 99.32
IITK, 24,  124, 99.30
IITK, 24,  125, 98.99
IITK, 24,  126, 99.06
IITK, 24,  127, 98.73
IITK, 24,  128, 98.95
IITK, 24,  129, 98.81
IITK, 24,  130, 98.78
IITK, 24,  131, 98.94
IITK, 24,  132, 99.46
IITK, 24,  133, 97.94
IITK, 24,  134, 98.93
IITK, 24,  135, 99.15
IITK, 24,  136, 98.80
IITK, 24,  137, 99.14
IITK, 24,  138, 98.19
IITK, 24,  139, 97.55
IITK, 24,  140, 99.12
IITK, 24,  141, 98.84
IITK, 24,  142, 98.56
IITK, 24,  143, 98.89
IITK, 24,  144, 99.34
IITK, 24,  145, 99.33
IITK, 24,  146, 99.25
IITK, 24,  147, 99.48
IITK, 24,  148, 99.06
IITK, 24,  149, 99.47
IITK, 24,  150, 98.74
IITK, 24,  151, 99.74
IITK, 24,  152, 99.21
IITK, 24,  153, 99.08
IITK, 24,  154, 99.51
IITK, 24,  155, 99.04
IITK, 24,  156, 99.44
IITK, 24,  157, 98.48
IITK, 24,  158, 99.27
IITK, 24,  159, 97.61
IITK, 24,  160, 99.36
IITK, 24,  161, 99.33
IITK, 24,  162, 99.15
IITK, 24,  163, 99.50
IITK, 24,  164, 99.21
IITK, 24,  165, 99.11
IITK, 24,  166, 96.73
IITK, 24,  167, 99.30
IITK, 24,  168, 99.47
IITK, 24,  169, 99.00
IITK, 24,  170, 98.91
IITK, 24,  171, 97.49
IITK, 24,  172, 97.72
IITK, 24,  173, 95.17
IITK, 24,  174, 99.19
IITK, 24,  175, 99.17
IITK, 24,  176, 97.15
IITK, 24,  177, 96.28
IITK, 24,  178, 97.26
IITK, 24,  179, 90.71
IITK, 24,  180, 93.81
IITK, 24,  181, 98.82
IITK, 24,  182, 99.26
IITK, 24,  183, 97.56
IITK, 24,  184, 97.05
IITK, 24,  185, 97.21
IITK, 24,  186, 1.95
IITK, 24,  187, 99.42
IITK, 24,  188, 99.07
IITK, 24,  189, 99.48
IITK, 24,  190, 98.92
IITK, 24,  191, 98.58
IITK, 24,  192, 98.90
IITK, 24,  193, 99.15
IITK, 24,  194, 98.81
IITK, 24,  195, 98.67
IITK, 24,  196, 99.02
IITK, 24,  197, 99.08
IITK, 24,  198, 98.80
IITK, 24,  199, 98.50
IITK, 24,  200, 98.89
IITK, 24,  201, 98.83
IITK, 24,  202, 99.27
IITK, 24,  203, 99.04
IITK, 24,  204, 96.86
IITK, 24,  205, 95.04
IITK, 24,  206, 91.51
IITK, 24,  207, 98.01
IITK, 24,  208, 95.62
IITK, 24,  209, 97.46
IITK, 24,  210, 98.96
IITK, 24,  211, 98.23
IITK, 24,  212, 97.61
IITK, 24,  213, 99.12
IITK, 24,  214, 99.25
IITK, 24,  215, 99.43
IITK, 24,  216, 99.10
IITK, 24,  217, 98.96
IITK, 24,  218, 97.63
IITK, 24,  219, 99.51
IITK, 24,  220, 98.89
IITK, 24,  221, 99.31
MANI, 24,  100, 94.38
MANI, 24,  101, 94.20
MANI, 24,  102, 93.69
MANI, 24,  103, 94.73
MANI, 24,  104, 94.89
MANI, 24,  105, 94.80
MANI, 24,  106, 96.13
MANI, 24,  107, 95.56
MANI, 24,  108, 94.60
MANI, 24,  109, 95.31
MANI, 24,  110, 95.91
MANI, 24,  111, 95.87
MANI, 24,  112, 96.59
MANI, 24,  113, 95.91
MANI, 24,  114, 92.21
MANI, 24,  115, 95.05
MANI, 24,  116, 95.42
MANI, 24,  117, 97.48
MANI, 24,  118, 97.81
MANI, 24,  119, 98.33
MANI, 24,  120, 98.16
MANI, 24,  121, 98.18
MANI, 24,  122, 97.72
MANI, 24,  123, 98.56
MANI, 24,  124, 98.54
MANI, 24,  125, 94.34
MANI, 24,  126, 96.24
MANI, 24,  127, 98.09
MANI, 24,  128, 93.73
MANI, 24,  129, 95.28
MANI, 24,  130, 94.77
MANI, 24,  131, 95.07
MANI, 24,  132, 95.76
MANI, 24,  133, 94.71
MANI, 24,  134, 95.46
MANI, 24,  135, 94.95
MANI, 24,  136, 98.81
MANI, 24,  137, 94.93
MANI, 24,  138, 93.82
MANI, 24,  139, 97.09
MANI, 24,  140, 98.11
MANI, 24,  141, 94.63
MANI, 24,  142, 98.04
MANI, 24,  143, 94.09
MANI, 24,  144, 98.17
MANI, 24,  145, 94.80
MANI, 24,  146, 98.31
MANI, 24,  147, 99.02
MANI, 24,  148, 98.72
MANI, 24,  149, 98.77
MANI, 24,  150, 98.38
MANI, 24,  151, 97.21
MANI, 24,  152, 96.91
MANI, 24,  153, 98.03
MANI, 24,  154, 98.21
MANI, 24,  155, 97.83
MANI, 24,  156, 98.81
MANI, 24,  157, 97.68
MANI, 24,  158, 94.85
MANI, 24,  159, 94.08
MANI, 24,  160, 94.19
MANI, 24,  161, 94.34
MANI, 24,  162, 94.91
MANI, 24,  163, 94.48
MANI, 24,  164, 95.73
MANI, 24,  165, 94.74
MANI, 24,  166, 94.59
MANI, 24,  167, 95.70
MANI, 24,  168, 95.39
