SITE,CONST,YR,DOY,MP1,MP2,MP5,OSMP1,OSMP2,OSMP5,OSGF,OSMW,OSIOD,S1,S2,S5X
BOMB,C,24,100,0.1845,0.1054,0.1027,5239,0,1921,0,187.107,5239,50.51721432,,51.32415409
BOMB,C,24,101,0.2902,0.1822,0.2189,218.833,189.222,369.2,437.667,61.7882,154.471,50.1544221,,51.05489984
BOMB,C,24,102,0.3444,0.2013,0.2052,330.829,255.407,669,771.933,107.213,199.638,50.10278826,,50.95708796
BOMB,C,24,103,0.24,0.1508,0.1517,742,441.222,2707,1669.5,193.565,534.24,50.16010707,,51.11499815
BOMB,C,24,104,0.2669,0.1543,0.1501,284.667,194.789,506,569.333,98,192.839,50.05577978,,51.06360843
BOMB,C,24,105,0.3647,0.2335,0.1818,191.061,112.147,1661.33,370.882,78.8125,144.943,50.05955484,,51.01908963
BOMB,C,24,106,0.1842,0.1232,0.1091,1732.86,3551,838,6065,130.43,2426,50.1363564,,51.06123707
BOMB,C,24,107,0.1468,0.1088,0.0939,0,0,0,0,227.143,0,50.05533263,,50.97957655
BOMB,C,24,108,0.1673,0.119,0.0957,9079,8227,0,9079,394.739,9079,50.09857528,,50.87887324
BOMB,C,24,109,0.3042,0.237,0.1862,77.4961,63.4846,113.5,123.025,82.7059,63.4968,50.01225637,,51.12669598
BOMB,C,24,110,0.3073,0.2576,0.2814,379.8,307.518,428.636,721.62,252.315,451.012,43.08499858,,43.90824677
BOMB,C,24,111,0.2745,0.2511,0.2509,5749.67,7242.67,2144.21,17249,502.398,12936.8,42.56144856,,43.88712492
BOMB,C,24,112,0.305,0.2848,0.2664,624.061,460.391,749.875,1137.18,282.724,741.638,42.59882918,,43.9090797
BOMB,C,24,113,0.3086,0.2516,0.2713,405.88,513.439,249.445,1179.88,294.971,583.161,42.79785707,,44.10634408
BOMB,C,24,114,0.3312,0.2725,0.2993,285.744,304.042,238.776,724.423,179.839,323.484,42.80134003,,44.05214975
BOMB,C,24,115,0.3459,0.2713,0.3071,349.653,472.304,258.026,856.65,176.024,372.457,42.64557431,,43.86031596
BOMB,C,24,116,0.3531,0.2781,0.2963,446.155,416.792,361.756,1101.15,184.836,462.089,42.58200553,,43.78954676
BOMB,C,24,117,0.2637,0.2421,0.2525,4636.55,0,1650.61,7286,372.277,7286,42.49694242,,43.79513844
