SName,Lat,Lon,Type
BADG ,51.769706,102.234981,IGS
BHR4 ,26.209142,50.608144,IGS
DAEJ ,36.3994,127.3745,IGS
DGAR ,-7.269684,72.37024,IGS
DJIG,11.526288,42.847064,IGS
IISC ,13.021166,77.570376,IGS
MAL2 ,-2.996,40.194,IGS
NTUS,1.3458,103.6799,IGS
POL2 ,42.6798,74.6943,IGS
REUN ,-21.208333,55.571667,IGS
RIO2 ,-53.785472,-67.751119,IGS
RIOG ,-53.785472,-67.751118,IGS
XMIS ,-10.449958,105.688506,IGS
TRIV,8.625609,77.032351,RCG
BOMB,19.139061,72.918869,RCG
DHAN,23.815375,86.443866,RCG
ROPAR,30.96406,76.486348,RCG
IITK,26.521431,80.232141,RCG
MANI,23.214417,77.407113,RCG
